quality,speed,dist_raw,dist
0.65,0.1,0.69591895,0.69591895
0.65,0.15,0.652947,0.652947
0.65,0.2,0.60997505,0.60997505
0.65,0.25,0.5670031,0.5670031
0.65,0.3,0.52403115,0.52403115
0.65,0.35,0.4810592,0.4810592
0.65,0.4,0.43808725,0.43808725
0.65,0.45,0.3951153,0.3951153
0.65,0.5,0.35214335,0.35214335
0.65,0.55,0.3091714,0.3091714
0.65,0.6,0.26619945,0.26619945
0.65,0.65,0.2232275,0.2232275
0.65,0.7,0.18025555,0.18025555
0.65,0.75,0.1372836,0.1372836
0.65,0.8,0.09431165,0.09431165
0.65,0.85,0.0513397,0.0513397
0.65,0.9,0.00836775,0.00836775
0.65,0.95,-0.0346042,0
0.65,1,-0.07757615,0
0.7,0,0.7835421,0.7835421
0.7,0.05,0.74057015,0.74057015
0.7,0.1,0.6975982,0.6975982
0.7,0.15,0.65462625,0.65462625
0.7,0.2,0.6116543,0.6116543
0.7,0.25,0.56868235,0.56868235
0.7,0.3,0.5257104,0.5257104
0.7,0.35,0.48273845,0.48273845
0.7,0.4,0.4397665,0.4397665
0.7,0.45,0.39679455,0.39679455
0.7,0.5,0.3538226,0.3538226
0.7,0.55,0.31085065,0.31085065
0.7,0.6,0.2678787,0.2678787
0.7,0.65,0.22490675,0.22490675
0.7,0.7,0.1819348,0.1819348
0.7,0.75,0.13896285,0.13896285
0.7,0.8,0.0959909,0.0959909
0.7,0.85,0.05301895,0.05301895
0.7,0.9,0.010047,0.010047
0.7,0.95,-0.03292495,0
0.7,1,-0.0758969,0
0.75,0,0.78522135,0.78522135
0.75,0.05,0.7422494,0.7422494
0.75,0.1,0.69927745,0.69927745
0.75,0.15,0.6563055,0.6563055
0.75,0.2,0.61333355,0.61333355
0.75,0.25,0.5703616,0.5703616
0.75,0.3,0.52738965,0.52738965
0.75,0.35,0.4844177,0.4844177
0.75,0.4,0.44144575,0.44144575
0.75,0.45,0.3984738,0.3984738
0.75,0.5,0.35550185,0.35550185
0.75,0.55,0.3125299,0.3125299
0.75,0.6,0.26955795,0.26955795
0.75,0.65,0.226586,0.226586
0.75,0.7,0.18361405,0.18361405
0.75,0.75,0.1406421,0.1406421
0.75,0.8,0.09767015,0.09767015
0.75,0.85,0.0546982,0.0546982
0.75,0.9,0.01172625,0.01172625
0.75,0.95,-0.0312457,0
0.75,1,-0.07421765,0
0.8,0,0.7869006,0.7869006
0.8,0.05,0.74392865,0.74392865
0.8,0.1,0.7009567,0.7009567
0.8,0.15,0.65798475,0.65798475
0.8,0.2,0.6150128,0.6150128
0.8,0.25,0.57204085,0.57204085
0.8,0.3,0.5290689,0.5290689
0.8,0.35,0.48609695,0.48609695
0.8,0.4,0.443125,0.443125
0.8,0.45,0.40015305,0.40015305
0.8,0.5,0.3571811,0.3571811
0.8,0.55,0.31420915,0.31420915
0.8,0.6,0.2712372,0.2712372
0.8,0.65,0.22826525,0.22826525
0.8,0.7,0.1852933,0.1852933
0.8,0.75,0.14232135,0.14232135
0.8,0.8,0.0993494,0.0993494
0.8,0.85,0.05637745,0.05637745
0.8,0.9,0.0134055,0.0134055
0.8,0.95,-0.02956645,0
0.8,1,-0.0725384,0
0.85,0,0.78857985,0.78857985
0.85,0.05,0.7456079,0.7456079
0.85,0.1,0.70263595,0.70263595
0.85,0.15,0.659664,0.659664
0.85,0.2,0.61669205,0.61669205
0.85,0.25,0.5737201,0.5737201
0.85,0.3,0.53074815,0.53074815
0.85,0.35,0.4877762,0.4877762
0.85,0.4,0.44480425,0.44480425
0.85,0.45,0.4018323,0.4018323
0.85,0.5,0.35886035,0.35886035
0.85,0.55,0.3158884,0.3158884
0.85,0.6,0.27291645,0.27291645
0.85,0.65,0.2299445,0.2299445
0.85,0.7,0.18697255,0.18697255
0.85,0.75,0.1440006,0.1440006
0.85,0.8,0.10102865,0.10102865
0.85,0.85,0.0580567,0.0580567
0.85,0.9,0.01508475,0.01508475
0.85,0.95,-0.0278872,0
0.85,1,-0.07085915,0
0.9,0,0.7902591,0.7902591
0.9,0.05,0.74728715,0.74728715
0.9,0.1,0.7043152,0.7043152
0.9,0.15,0.66134325,0.66134325
0.9,0.2,0.6183713,0.6183713
0.9,0.25,0.57539935,0.57539935
0.9,0.3,0.5324274,0.5324274
0.9,0.35,0.48945545,0.48945545
0.9,0.4,0.4464835,0.4464835
0.9,0.45,0.40351155,0.40351155
0.9,0.5,0.3605396,0.3605396
0.9,0.55,0.31756765,0.31756765
0.9,0.6,0.2745957,0.2745957
0.9,0.65,0.23162375,0.23162375
0.9,0.7,0.1886518,0.1886518
0.9,0.75,0.14567985,0.14567985
0.9,0.8,0.1027079,0.1027079
0.9,0.85,0.05973595,0.05973595
0.9,0.9,0.016764,0.016764
0.9,0.95,-0.02620795,0
0.9,1,-0.0691799,0
0.95,0,0.79193835,0.79193835
0.95,0.05,0.7489664,0.7489664
0.95,0.1,0.70599445,0.70599445
0.95,0.15,0.6630225,0.6630225
0.95,0.2,0.62005055,0.62005055
0.95,0.25,0.5770786,0.5770786
0.95,0.3,0.53410665,0.53410665
0.95,0.35,0.4911347,0.4911347
0.95,0.4,0.44816275,0.44816275
0.95,0.45,0.4051908,0.4051908
0.95,0.5,0.36221885,0.36221885
0.95,0.55,0.3192469,0.3192469
0.95,0.6,0.27627495,0.27627495
0.95,0.65,0.233303,0.233303
0.95,0.7,0.19033105,0.19033105
0.95,0.75,0.1473591,0.1473591
0.95,0.8,0.10438715,0.10438715
0.95,0.85,0.0614152,0.0614152
0.95,0.9,0.01844325,0.01844325
0.95,0.95,-0.0245287,0
0.95,1,-0.06750065,0
1,0,0.7936176,0.7936176
1,0.05,0.75064565,0.75064565
1,0.1,0.7076737,0.7076737
1,0.15,0.66470175,0.66470175
1,0.2,0.6217298,0.6217298
1,0.25,0.57875785,0.57875785
1,0.3,0.5357859,0.5357859
1,0.35,0.49281395,0.49281395
1,0.4,0.449842,0.449842
1,0.45,0.40687005,0.40687005
1,0.5,0.3638981,0.3638981
1,0.55,0.32092615,0.32092615
1,0.6,0.2779542,0.2779542
1,0.65,0.23498225,0.23498225
1,0.7,0.1920103,0.1920103
1,0.75,0.14903835,0.14903835
1,0.8,0.1060664,0.1060664
1,0.85,0.06309445,0.06309445
1,0.9,0.0201225,0.0201225
1,0.95,-0.02284945,0
1,1,-0.0658214,0
