method vars sample time
MCMC 16 1600 2.846594095
MCMC 32 1600 7.292211056
MCMC 64 1600 20.46022892
MCMC 2 3200 2.541325092
MCMC 4 3200 1.230255842
MCMC 8 3200 6.241735935
MCMC 16 3200 5.990097046
MCMC 32 3200 14.2849741
MCMC 64 3200 19.25906992
MCMC 2 6400 1.729386091
MCMC 4 6400 6.649194956
MCMC 8 6400 10.33566403
MCMC 16 6400 21.55890512
MCMC 32 6400 16.40471411
MCMC 64 6400 49.54791713
MCMC 2 12800 19.59472299
MCMC 4 12800 7.617309093
MCMC 8 12800 18.16785383
MCMC 16 12800 37.33470392
MCMC 32 12800 74.82370591
MCMC 64 12800 69.55219603
MCMC 2 25600 58.39078999
MCMC 4 25600 99.32763004
MCMC 8 25600 89.55363703
MCMC 16 25600 64.33016205
MCMC 32 25600 102.8389819
MCMC 64 25600 89.19382691
MCMC 2 200 0.2055008411
MCMC 4 200 0.1483118534
MCMC 8 200 0.3704309464
MCMC 16 200 0.9124879837
MCMC 32 200 1.815274954
MCMC 64 200 3.91908288
MCMC 2 400 0.0402469635
MCMC 4 400 0.1571159363
MCMC 8 400 0.3266060352
MCMC 16 400 0.9679279327
MCMC 32 400 2.916182995
MCMC 64 400 6.339808941
MCMC 2 800 0.1572239399
MCMC 4 800 0.2448298931
MCMC 8 800 0.896474123
MCMC 16 800 2.052667141
MCMC 32 800 4.520523071
MCMC 64 800 9.717863083
MCMC 2 1600 0.4380269051
MCMC 4 1600 0.4155797958
MCMC 8 1600 1.759293079
MCMC 16 1600 5.645154953
MCMC 32 1600 6.359205961
MCMC 64 1600 17.97988796
MCMC 2 3200 2.477247
MCMC 4 3200 2.627485991
MCMC 8 3200 6.224687099
MCMC 16 3200 5.45540309
MCMC 32 3200 15.5525918
MCMC 64 3200 28.00360608
MCMC 2 6400 9.204144955
MCMC 4 6400 9.824721098
MCMC 8 6400 15.72343302
MCMC 16 6400 16.67723203
MCMC 32 6400 28.9763031
MCMC 64 6400 27.76730609
MCMC 2 12800 13.05035901
MCMC 4 12800 3.117933035
MCMC 8 12800 25.1526649
MCMC 16 12800 31.61690283
MCMC 32 12800 44.51926088
MCMC 64 12800 51.87912607
MCMC 2 25600 3.19619298
MCMC 4 25600 29.69374418
MCMC 8 25600 62.85942316
MCMC 16 25600 100.7702961
MCMC 32 25600 60.76267695
MCMC 64 25600 158.8658149
MCMC 2 200 0.1264941692
MCMC 4 200 0.06360316277
MCMC 8 200 0.2553498745
MCMC 16 200 0.7963929176
MCMC 32 200 2.106867075
MCMC 64 200 4.479327917
MCMC 2 400 0.05801010132
MCMC 4 400 0.1844398975
MCMC 8 400 0.4645860195
MCMC 16 400 1.061824083
MCMC 32 400 3.402513027
MCMC 64 400 4.319159985
MCMC 2 800 0.1280810833
MCMC 4 800 0.123000145
MCMC 8 800 0.7918388844
MCMC 16 800 1.488780975
MCMC 32 800 4.716533184
MCMC 64 800 7.97965312
MCMC 2 1600 0.2660620213
MCMC 4 1600 1.090507984
MCMC 8 1600 1.526342869
MCMC 16 1600 3.630002975
MCMC 32 1600 8.475143194
MCMC 64 1600 11.89889097
MCMC 2 3200 1.015552044
MCMC 4 3200 1.899296045
MCMC 8 3200 4.400177002
MCMC 16 3200 4.878897905
MCMC 32 3200 14.38806796
MCMC 64 3200 28.69298887
MCMC 2 6400 3.071699142
MCMC 4 6400 9.117726088
MCMC 8 6400 7.022545099
MCMC 16 6400 13.82043195
MCMC 32 6400 16.81170297
MCMC 64 6400 34.94515705
MCMC 2 12800 6.339195967
MCMC 4 12800 20.61391401
MCMC 8 12800 19.97136497
MCMC 16 12800 56.10326099
MCMC 32 12800 61.29342914
MCMC 64 12800 49.83840013
MCMC 2 25600 11.54913497
MCMC 4 25600 117.2494669
MCMC 8 25600 21.1008842
MCMC 16 25600 44.84908414
MCMC 32 25600 99.55258799
MCMC 64 25600 179.647311
BAS 2 200 0.00935578346252441
BAS 4 200 0.0169579982757568
BAS 8 200 0.184874057769775
BAS 16 200 62.9633250236511
BAS 32 200 200.0
BAS 64 200 200.0
BAS 2 400 0.0398769378662109
BAS 4 400 0.22345495223999
BAS 8 400 0.793716907501221
BAS 16 400 113.319886922836
BAS 32 400 200.0
BAS 64 400 200.0
BAS 2 800 0.0569860935211182
BAS 4 800 0.0495150089263916
BAS 8 800 0.661719083786011
BAS 16 800 200.0
BAS 32 800 200.0
BAS 64 800 200.0
BAS 2 1600 0.0401759147644043
BAS 4 1600 0.119838953018188
BAS 8 1600 1.47541904449463
BAS 16 1600 200.0
BAS 32 1600 200.0
BAS 64 1600 200.0
BAS 2 3200 0.675331115722656
BAS 4 3200 0.224586009979248
BAS 8 3200 2.80255699157715
BAS 16 3200 200.0
BAS 32 3200 200.0
BAS 64 3200 200.0
BAS 2 6400 0.242893934249878
BAS 4 6400 0.698920965194702
BAS 8 6400 5.85765600204468
BAS 16 6400 200.0
BAS 32 6400 200.0
BAS 64 6400 200.0
BAS 2 12800 0.7377610206604
BAS 4 12800 1.29361295700073
BAS 8 12800 19.618772983551
BAS 16 12800 200.0
BAS 32 12800 200.0
BAS 64 12800 200.0
BAS 2 25600 1.47391891479492
BAS 4 25600 2.50546193122864
BAS 8 25600 34.1266601085663
BAS 16 25600 200.0
BAS 32 25600 200.0
BAS 64 25600 200.0
