type	model	precision	recall	F1
Logit	Logit3	0.629629629630	0.239436619718309	0.346938775510204
Logit	Logit3	0.590163934426	0.253521126760563	0.354679802955665
Logit	Logit3	0.530864197531	0.302816901408450	0.385650224215246
Logit	Logit3	0.648148148148	0.246478873239436	0.357142857142857
Logit	Logit3	0.521276595745	0.345070422535211	0.415254237288135
Logit	Logit3	0.574074074074	0.218309859154929	0.316326530612244
Logit	Logit3	0.505376344086	0.330985915492957	0.399999999999999
Logit	Logit3	0.509433962264	0.190140845070422	0.276923076923076
Logit	Logit3	0.597701149425	0.366197183098591	0.454148471615720
Logit	Logit3	0.266666666667	0.028169014084507	0.050955414012739
Logit	Logit3	0.417910447761	0.197183098591549	0.267942583732057
Logit	Logit3	0.577777777778	0.366197183098591	0.448275862068965
Logit	Logit3	0.626506024096	0.366197183098591	0.462222222222222
Logit	Logit3	0.388349514563	0.281690140845070	0.326530612244897
Logit	Logit3	0.344444444444	0.218309859154929	0.267241379310344
Logit	Logit3	0.551020408163	0.190140845070422	0.282722513089005
Logit	Logit3	0.518518518519	0.197183098591549	0.285714285714285
Logit	Logit3	0.500000000000	0.260563380281690	0.342592592592592
Logit	Logit3	0.589285714286	0.232394366197183	0.333333333333333
Logit	Logit3	0.568627450980	0.408450704225352	0.475409836065573
Logit	Logit3	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit3	0.490000000000	0.345070422535211	0.404958677685950
Logit	Logit3	0.604395604396	0.387323943661971	0.472103004291845
Logit	Logit3	0.448275862069	0.274647887323943	0.340611353711790
Logit	Logit3	0.473118279570	0.309859154929577	0.374468085106382
Logit	Logit3	0.545454545455	0.295774647887323	0.383561643835616
Logit	Logit3	0.444444444444	0.084507042253521	0.142011834319526
Logit	Logit3	0.469696969697	0.218309859154929	0.298076923076923
Logit	Logit3	0.533333333333	0.281690140845070	0.368663594470046
Logit	Logit3	0.524271844660	0.380281690140845	0.440816326530612
Logit	Logit3	0.411764705882	0.147887323943661	0.217616580310880
Logit	Logit3	0.504672897196	0.380281690140845	0.433734939759036
Logit	Logit3	0.444444444444	0.309859154929577	0.365145228215767
Logit	Logit3	0.484848484848	0.338028169014084	0.398340248962655
Logit	Logit3	0.490384615385	0.359154929577464	0.414634146341463
Logit	Logit3	0.566371681416	0.450704225352112	0.501960784313725
Logit	Logit3	0.416666666667	0.281690140845070	0.336134453781512
Logit	Logit3	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit3	0.534883720930	0.323943661971831	0.403508771929824
Logit	Logit3	0.514285714286	0.253521126760563	0.339622641509433
Logit	Logit3	0.551724137931	0.338028169014084	0.419213973799126
Logit	Logit4	0.607142857143	0.359154929577464	0.451327433628318
Logit	Logit4	0.628865979381	0.429577464788732	0.510460251046025
Logit	Logit4	0.629629629630	0.359154929577464	0.457399103139013
Logit	Logit4	0.634146341463	0.366197183098591	0.464285714285714
Logit	Logit4	0.612500000000	0.345070422535211	0.441441441441441
Logit	Logit4	0.594339622642	0.443661971830985	0.508064516129032
Logit	Logit4	0.588235294118	0.422535211267605	0.491803278688524
Logit	Logit4	0.603174603175	0.267605633802816	0.370731707317073
Logit	Logit4	0.602272727273	0.373239436619718	0.460869565217391
Logit	Logit4	0.619047619048	0.274647887323943	0.380487804878048
Logit	Logit4	0.571428571429	0.394366197183098	0.466666666666666
Logit	Logit4	0.572916666667	0.387323943661971	0.462184873949579
Logit	Logit4	0.587628865979	0.401408450704225	0.476987447698744
Logit	Logit4	0.568421052632	0.380281690140845	0.455696202531645
Logit	Logit4	0.577981651376	0.443661971830985	0.501992031872510
Logit	Logit4	0.614035087719	0.246478873239436	0.351758793969849
Logit	Logit4	0.660714285714	0.260563380281690	0.373737373737373
Logit	Logit4	0.565217391304	0.366197183098591	0.444444444444444
Logit	Logit4	0.637931034483	0.260563380281690	0.370000000000000
Logit	Logit4	0.569892473118	0.373239436619718	0.451063829787234
